signal_id,holding_days,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,exit_reason
S5_macd_cross,10,2002-10-14,2002-10-28,841.4400024414062,890.22998046875,118.72516116448416,5587.005206703321,5.587005206703322,time_stop
S5_macd_cross,10,2002-11-22,2002-12-09,930.5499877929688,892.0,107.35597357540985,-4334.233099163691,-4.334233099163686,time_stop
S5_macd_cross,10,2003-01-06,2003-01-21,929.010009765625,887.6199951171875,107.53393273480786,-4646.180419846887,-4.646180419846891,time_stop
S5_macd_cross,10,2003-02-19,2003-03-05,845.1300048828125,829.8499755859375,118.20678395385129,-2004.1971185825132,-2.004197118582518,time_stop
S5_macd_cross,10,2003-03-14,2003-03-28,833.27001953125,863.5,119.88922865159363,3420.824591710435,3.420824591710425,time_stop
S5_macd_cross,10,2003-04-15,2003-04-30,890.8099975585938,916.9199829101562,112.14523879827573,2725.3822319280052,2.7253822319279974,time_stop
S5_macd_cross,10,2003-06-02,2003-06-16,967.0,1010.739990234375,103.30930703216123,4314.42913282589,4.314429132825892,time_stop
S5_macd_cross,10,2003-08-15,2003-08-29,990.6699829101562,1008.010009765625,100.84094766517201,1547.03595610417,1.5470359561041702,time_stop
S5_macd_cross,10,2003-09-17,2003-10-01,1025.969970703125,1018.219970703125,97.37136831756943,-953.6736761568985,-0.9536736761568965,time_stop
S5_macd_cross,10,2003-10-07,2003-10-21,1039.25,1046.030029296875,96.1271108011546,451.29268302814296,0.4512926830281483,time_stop
S5_macd_cross,10,2003-11-03,2003-11-17,1059.02001953125,1043.6300048828125,94.33258867411998,-1650.1283413983942,-1.6501283413983936,time_stop
S5_macd_cross,10,2003-12-01,2003-12-15,1070.1199951171875,1068.0400390625,93.35411015206756,-393.7784739942949,-0.39377847399429955,time_stop
S5_macd_cross,10,2004-02-18,2004-03-03,1151.8199462890625,1151.030029296875,86.73239269901377,-268.24307917545076,-0.2682430791754453,time_stop
S5_macd_cross,10,2004-03-31,2004-04-15,1126.2099609375,1128.8399658203125,88.70468506328898,33.26026128976106,0.03326026128975812,time_stop
S5_macd_cross,10,2004-04-26,2004-05-10,1135.530029296875,1087.1199951171875,87.9766252962579,-4454.492685967989,-4.454492685967992,time_stop
S5_macd_cross,10,2004-05-26,2004-06-10,1114.93994140625,1136.469970703125,89.60132845729613,1727.3899076975933,1.7273899076975852,time_stop
S5_macd_cross,10,2004-08-03,2004-08-17,1099.68994140625,1081.7099609375,90.84387893222949,-1831.5379975382575,-1.8315379975382573,time_stop
S5_macd_cross,10,2004-08-18,2004-09-01,1095.1700439453125,1105.9100341796875,91.21880246122623,778.9091587771309,0.7789091587771413,time_stop
S5_macd_cross,10,2004-10-05,2004-10-19,1134.47998046875,1103.22998046875,88.05805445665308,-2948.8625873688216,-2.948862587368817,time_stop
S5_macd_cross,10,2004-10-29,2004-11-12,1130.199951171875,1184.1700439453125,88.39152735453234,4565.928232978038,4.565928232978034,time_stop
S5_macd_cross,10,2004-12-16,2004-12-31,1203.2099609375,1211.9200439453125,83.02798609002636,522.6572703646241,0.5226572703646237,time_stop
S5_macd_cross,10,2005-02-02,2005-02-16,1193.18994140625,1210.3399658203125,83.72522800716985,1234.6536148913146,1.2346536148913234,time_stop
S5_macd_cross,10,2005-02-28,2005-03-14,1203.5999755859375,1206.8299560546875,83.0010816936636,68.0235810827144,0.06802358108271012,time_stop
S5_macd_cross,10,2005-04-07,2005-04-21,1191.1400146484375,1159.949951171875,83.8693173527423,-2813.0736424362167,-2.8130736424362146,time_stop
S5_macd_cross,10,2005-05-02,2005-05-16,1162.1600341796875,1165.68994140625,85.96070847558835,103.32969292216859,0.10332969292217165,time_stop
S5_macd_cross,10,2005-06-16,2005-06-30,1210.9599609375,1191.3299560546875,82.49661683509282,-1817.5897820972802,-1.8175897820972842,time_stop
S5_macd_cross,10,2005-07-12,2005-07-26,1222.2099609375,1231.1600341796875,81.73726535780418,531.0227572567013,0.5310227572566939,time_stop
S5_macd_cross,10,2005-09-07,2005-09-21,1236.3599853515625,1210.199951171875,80.80178999944991,-2311.4640103775623,-2.311464010377562,time_stop
S5_macd_cross,10,2005-10-03,2005-10-17,1226.699951171875,1190.0999755859375,81.4380890817389,-3177.4516398850783,-3.177451639885076,time_stop
S5_macd_cross,10,2005-10-25,2005-11-08,1196.5400390625,1218.5899658203125,83.49081237463024,1639.3251317128788,1.6393251317128765,time_stop
S5_macd_cross,10,2006-01-09,2006-01-24,1290.1500244140625,1266.8599853515625,77.43293261221366,-2001.4128090373113,-2.0014128090373062,time_stop
S5_macd_cross,10,2006-02-16,2006-03-03,1289.3800048828125,1287.22998046875,77.47917566720722,-366.21573694684605,-0.36621573694685106,time_stop
S5_macd_cross,10,2006-03-15,2006-03-29,1303.02001953125,1302.8900146484375,76.66812359186784,-209.75746299277654,-0.20975746299277676,time_stop
S5_macd_cross,10,2006-04-06,2006-04-21,1309.0400390625,1311.280029296875,76.31554186199357,-29.025077366786725,-0.02902507736678439,time_stop
S5_macd_cross,10,2006-06-05,2006-06-19,1265.2900390625,1240.1300048828125,78.95430835298409,-2184.3068034980583,-2.1843068034980595,time_stop
S5_macd_cross,10,2006-06-22,2006-07-07,1245.5999755859375,1265.47998046875,80.20239391310707,1393.0293588230236,1.393029358823017,time_stop
S5_macd_cross,10,2006-07-26,2006-08-09,1268.4000244140625,1265.949951171875,78.76072057492175,-392.57676428220174,-0.3925767642822042,time_stop
S5_macd_cross,10,2006-08-16,2006-08-30,1295.4300537109375,1305.3699951171875,77.1173245625438,565.9749460707023,0.5659749460707131,time_stop
S5_macd_cross,10,2006-09-15,2006-09-29,1319.6600341796875,1335.8499755859375,75.70139074659384,1024.5752796782392,1.0245752796782304,time_stop
S5_macd_cross,10,2006-11-16,2006-12-01,1399.760009765625,1396.7099609375,71.36944847911974,-417.2628221951529,-0.4172628221951524,time_stop
S5_macd_cross,10,2006-12-06,2006-12-20,1412.9000244140625,1423.530029296875,70.70571036441807,551.050244569889,0.551050244569895,time_stop
S5_macd_cross,10,2007-01-17,2007-01-31,1430.6199951171875,1438.239990234375,69.82993404332834,331.77145288704855,0.331771452887053,time_stop
S5_macd_cross,10,2007-02-02,2007-02-16,1448.3900146484375,1455.5400390625,68.97320396422941,292.86673236789943,0.2928667323679024,time_stop
S5_macd_cross,10,2007-03-21,2007-04-04,1435.0400390625,1439.3699951171875,69.61485197678793,101.32762076305892,0.10132762076306978,time_stop
S5_macd_cross,10,2007-05-23,2007-06-07,1522.280029296875,1490.719970703125,65.62531070334195,-2268.867712179685,-2.2688677121796896,time_stop
S5_macd_cross,10,2007-06-20,2007-07-05,1512.8399658203125,1525.4000244140625,66.0348101300528,628.771483575973,0.6287714835759628,time_stop
S5_macd_cross,10,2007-07-06,2007-07-20,1530.43994140625,1534.0999755859375,65.27541342674732,38.87113419071385,0.03887113419072108,time_stop
S5_macd_cross,10,2007-08-23,2007-09-07,1462.5,1453.550048828125,68.30776061545293,-810.5399708464585,-0.8105399708464578,time_stop
S5_macd_cross,10,2007-11-30,2007-12-14,1481.1400146484375,1467.949951171875,67.44811355583566,-1088.555454076879,-1.0885554540768783,time_stop
S5_macd_cross,10,2007-12-26,2008-01-10,1497.6600341796875,1420.3299560546875,66.70412351279585,-5352.8770472218375,-5.352877047221838,time_stop
S5_macd_cross,10,2008-01-31,2008-02-14,1378.550048828125,1348.8599853515625,72.46751758126068,-2349.213831579745,-2.349213831579744,time_stop
